Time,V(0),V(N001),V(N002),V(N003),V(N004),V(N005),I(C1),I(I1),I(I2),I(L1),I(L2),I(R1),I(R2),I(R3),I(R4),
0.00545,0,-4.93445,-2.11278,-0.0966968,-5.2521,-0.0808145,0.000317646,-0.0278991,-0.0278991,0.0241314,-0.0520305,-0.000317646,0.0517128,0.0282168,-0.000317646,
0.0055,0,-5.19324,-2.09254,-0.0759301,-5.29852,-0.0706659,0.000105284,-0.0309017,-0.0309017,0.0214821,-0.0523838,-0.000105284,0.0522785,0.031007,-0.000105284,
0.00555,0,-5.4477,-2.07111,-0.0550423,-5.33982,-0.0604362,-0.000107878,-0.0338738,-0.0338738,0.0188122,-0.052686,0.000107878,0.0527939,0.0337659,0.000107878,
0.0056,0,-5.6976,-2.04851,-0.0340545,-5.37597,-0.050136,-0.00032163,-0.0368125,-0.0368125,0.0161242,-0.0529367,0.00032163,0.0532583,0.0364908,0.00032163,
0.00565,0,-5.94267,-2.02477,-0.0129878,-5.40691,-0.039776,-0.000535763,-0.0397148,-0.0397148,0.0134208,-0.0531356,0.000535763,0.0536713,0.039179,0.000535763,
0.0057,0,-6.18268,-1.99989,0.0081366,-5.43261,-0.0293668,-0.000750067,-0.0425779,-0.0425779,0.0107045,-0.0532824,0.000750067,0.0540325,0.0418279,0.000750067,
0.00575,0,-6.41738,-1.97391,0.0292975,-5.45305,-0.0189191,-0.000964332,-0.045399,-0.045399,0.00797794,-0.053377,0.000964332,0.0543413,0.0444347,0.000964332,
0.0058,0,-6.64655,-1.94684,0.0504737,-5.4682,-0.00844362,-0.00117835,-0.0481754,-0.0481754,0.00524384,-0.0534192,0.00117835,0.0545976,0.046997,0.00117835,
0.00585,0,-6.86994,-1.91871,0.0716439,-5.47804,0.00204888,-0.0013919,-0.0509041,-0.0509041,0.00250482,-0.053409,0.0013919,0.0548009,0.0495122,0.0013919,
0.0059,0,-7.08734,-1.88955,0.0927869,-5.48255,0.0125477,-0.00160478,-0.0535827,-0.0535827,-0.000236458,-0.0533462,0.00160478,0.054951,0.0519779,0.00160478,
0.00595,0,-7.29852,-1.85937,0.113881,-5.48174,0.0230421,-0.00181679,-0.0562083,-0.0562083,-0.00297733,-0.053231,0.00181679,0.0550478,0.0543916,0.00181679,
0.006,0,-7.50329,-1.8282,0.134906,-5.47559,0.0335214,-0.0020277,-0.0587785,-0.0587785,-0.00571512,-0.0530634,0.0020277,0.0550911,0.0567508,0.0020277,
0.00605,0,-7.70142,-1.79608,0.155841,-5.46411,0.0439749,-0.00223731,-0.0612907,-0.0612907,-0.00844718,-0.0528435,0.00223731,0.0550808,0.0590534,0.00223731,
0.0061,0,-7.89273,-1.76303,0.176663,-5.44731,0.054392,-0.00244542,-0.0637424,-0.0637424,-0.0111708,-0.0525716,0.00244542,0.055017,0.061297,0.00244542,
0.00615,0,-8.07702,-1.72908,0.197353,-5.4252,0.0647621,-0.00265182,-0.0661312,-0.0661312,-0.0138834,-0.0522478,0.00265182,0.0548996,0.0634794,0.00265182,
0.0062,0,-8.25411,-1.69427,0.21789,-5.39779,0.0750747,-0.00285631,-0.0684547,-0.0684547,-0.0165823,-0.0518724,0.00285631,0.0547287,0.0655984,0.00285631,
0.00625,0,-8.42381,-1.65861,0.238253,-5.36513,0.0853193,-0.00305868,-0.0707107,-0.0707107,-0.0192649,-0.0514458,0.00305868,0.0545045,0.067652,0.00305868,
0.0063,0,-8.58596,-1.62215,0.258422,-5.32722,0.0954855,-0.00325874,-0.0728969,-0.0728969,-0.0219285,-0.0509684,0.00325874,0.0542271,0.0696381,0.00325874,
0.00635,0,-8.74039,-1.58491,0.278377,-5.28412,0.105563,-0.00345628,-0.0750111,-0.0750111,-0.0245706,-0.0504405,0.00345628,0.0538968,0.0715548,0.00345628,
0.0064,0,-8.88696,-1.54694,0.298097,-5.23585,0.115542,-0.0036511,-0.0770513,-0.0770513,-0.0271885,-0.0498628,0.0036511,0.0535139,0.0734002,0.0036511,
0.00645,0,-9.0255,-1.50825,0.317563,-5.18247,0.125412,-0.00384303,-0.0790155,-0.0790155,-0.0297797,-0.0492358,0.00384303,0.0530788,0.0751725,0.00384303,
0.0065,0,-9.15589,-1.4689,0.336756,-5.12402,0.135162,-0.00403187,-0.0809017,-0.0809017,-0.0323417,-0.04856,0.00403187,0.0525918,0.0768698,0.00403187,
0.00655,0,-9.27798,-1.42892,0.355655,-5.06056,0.144785,-0.00421742,-0.0827081,-0.0827081,-0.034872,-0.047836,0.00421742,0.0520535,0.0784906,0.00421742,
0.0066,0,-9.39166,-1.38833,0.374244,-4.99215,0.154268,-0.00439951,-0.0844328,-0.0844328,-0.0373681,-0.0470647,0.00439951,0.0514642,0.0800333,0.00439951,
0.00665,0,-9.49681,-1.34718,0.392501,-4.91886,0.163604,-0.00457795,-0.0860742,-0.0860742,-0.0398275,-0.0462467,0.00457795,0.0508246,0.0814963,0.00457795,
0.0067,0,-9.59332,-1.30551,0.410411,-4.84075,0.172782,-0.00475257,-0.0876307,-0.0876307,-0.0422479,-0.0453828,0.00475257,0.0501353,0.0828781,0.00475257,
0.00675,0,-9.6811,-1.26335,0.427953,-4.75791,0.181794,-0.00492319,-0.0891007,-0.0891007,-0.0446268,-0.0444738,0.00492319,0.049397,0.0841775,0.00492319,
0.0068,0,-9.76005,-1.22074,0.445112,-4.6704,0.19063,-0.00508965,-0.0904827,-0.0904827,-0.046962,-0.0435207,0.00508965,0.0486103,0.0853931,0.00508965,
0.00685,0,-9.8301,-1.17773,0.461869,-4.57832,0.199281,-0.00525177,-0.0917755,-0.0917755,-0.0492512,-0.0425243,0.00525177,0.047776,0.0865237,0.00525177,
0.0069,0,-9.89117,-1.13434,0.478209,-4.48176,0.207739,-0.00540941,-0.0929776,-0.0929776,-0.0514921,-0.0414856,0.00540941,0.046895,0.0875682,0.00540941,
0.00695,0,-9.94319,-1.09062,0.494114,-4.3808,0.215995,-0.00556239,-0.0940881,-0.0940881,-0.0536825,-0.0404056,0.00556239,0.045968,0.0885257,0.00556239,
0.007,0,-9.98613,-1.04662,0.509569,-4.27555,0.224041,-0.00571057,-0.0951057,-0.0951057,-0.0558203,-0.0392854,0.00571057,0.044996,0.0893951,0.00571057,
0.00705,0,-10.0199,-1.00236,0.524558,-4.16612,0.231868,-0.0058538,-0.0960294,-0.0960294,-0.0579033,-0.038126,0.0058538,0.0439798,0.0901756,0.0058538,
0.0071,0,-10.0445,-0.957891,0.539067,-4.05259,0.23947,-0.00599194,-0.0968583,-0.0968583,-0.0599296,-0.0369287,0.00599194,0.0429206,0.0908664,0.00599194,
0.00715,0,-10.0599,-0.913253,0.55308,-3.9351,0.246838,-0.00612484,-0.0975917,-0.0975917,-0.0618972,-0.0356945,0.00612484,0.0418193,0.0914668,0.00612484,
0.0072,0,-10.0661,-0.868488,0.566583,-3.81374,0.253964,-0.00625238,-0.0982287,-0.0982287,-0.063804,-0.0344247,0.00625238,0.0406771,0.0919763,0.00625238,
